"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\kamp-frontend\carRental-Frontend\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 14, 28
"c:\kamp-frontend\carRental-Frontend\angular.json", "JSON", 110, 0, 0, 0, 0, 0, 0, 1, 111
"c:\kamp-frontend\carRental-Frontend\package-lock.json", "JSON", 12441, 0, 0, 0, 0, 0, 0, 1, 12442
"c:\kamp-frontend\carRental-Frontend\package.json", "JSON", 45, 0, 0, 0, 0, 0, 0, 0, 45
"c:\kamp-frontend\carRental-Frontend\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 0, 3, 68
"c:\kamp-frontend\carRental-Frontend\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\kamp-frontend\carRental-Frontend\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 15, 0, 12, 27
"c:\kamp-frontend\carRental-Frontend\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 5, 36
"c:\kamp-frontend\carRental-Frontend\src\app\app.component.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\kamp-frontend\carRental-Frontend\src\app\app.module.ts", "TypeScript", 0, 0, 0, 91, 0, 0, 0, 3, 94
"c:\kamp-frontend\carRental-Frontend\src\app\components\add\brand-add\brand-add.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\kamp-frontend\carRental-Frontend\src\app\components\add\brand-add\brand-add.component.html", "HTML", 0, 0, 0, 0, 0, 57, 0, 1, 58
"c:\kamp-frontend\carRental-Frontend\src\app\components\add\brand-add\brand-add.component.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 2, 64
"c:\kamp-frontend\carRental-Frontend\src\app\components\add\car-add\car-add.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\kamp-frontend\carRental-Frontend\src\app\components\add\car-add\car-add.component.html", "HTML", 0, 0, 0, 0, 0, 59, 0, 3, 62
"c:\kamp-frontend\carRental-Frontend\src\app\components\add\car-add\car-add.component.ts", "TypeScript", 0, 0, 0, 66, 0, 0, 0, 2, 68
"c:\kamp-frontend\carRental-Frontend\src\app\components\add\car-image-add\car-image-add.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\kamp-frontend\carRental-Frontend\src\app\components\add\car-image-add\car-image-add.component.html", "HTML", 0, 0, 0, 0, 0, 67, 2, 14, 83
